latitude_dd,longitude_dd,state,county,waterbody,peak_date,peak_stage,height_above_gnd
29.32699,-96.76865,TX,Lavaca County,Sandies creek,8/30/2017 5:00:00 PM,162.43,0
29.2729,-96.71926,TX,Lavaca County,peach creek,8/30/2017 5:00:00 PM,138.48,1.1
29.06509,-96.67679,TX,Jackson County,Navidad river,8/30/2017 5:00:00 PM,74.38,5.7
28.72524,-96.76817,TX,Victoria County,Placebo Creek,8/26/2017 5:00:00 PM,32.88,0
29.81619,-97.20261,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,382.21,5.85
29.3777,-97.01031,TX,Lavaca County,Rocky Creek,9/20/2017 5:00:00 PM,210.5,0
29.37837,-97.06543,TX,Lavaca County,Rocky Creek,9/2/2017 5:00:00 PM,243.9,0
29.81618,-97.20365,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,376.71,1.15
29.81179,-97.1395,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,341.56,3.81
29.85181,-97.13347,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,337.57,4.31
29.82364,-97.08382,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,316.63,5.85
29.80594,-97.06532,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,314.74,0
29.84544,-97.04461,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,296.25,0
29.86745,-96.93265,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,263.36,0
29.41105,-97.06599,TX,Lavaca County,Rocky Creek,9/2/2017 5:00:00 PM,252.6,6.3
29.9048,-96.8842,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,262.15,5.69
29.89692,-96.87068,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,253.39,0
28.89147,-96.62828,TX,Jackson County,Lavaca River,8/29/2017 6:00:00 PM,25.58,8
29.86567,-96.81862,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,251.67,3.48
29.84898,-96.80976,TX,Fayette County,Colorado River,8/30/2017 5:00:00 PM,233.16,0.48
29.78003,-96.70595,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,218.7,6.9
29.79388,-96.69297,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,224.53,0.8
29.7382,-96.69336,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,258.58,0
29.71137,-96.70101,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,286.64,2
29.69671,-96.69794,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,286.36,3.72
29.69482,-96.54441,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,195.15,0
29.70708,-96.54678,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,201.13,1.12
29.71181,-96.54929,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,203.05,1.25
29.71562,-96.54789,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,201.72,0.95
29.72764,-96.55216,TX,Colorado County,Colorado River,8/30/2017 5:00:00 PM,198.05,1
29.45989,-97.04527,TX,Lavaca County,Smouthers creek,9/2/2017 5:00:00 PM,269.6,6.6
28.91946,-96.66553,TX,Jackson County,Lavaca River,8/29/2017 5:00:00 PM,34.51,0
28.89846,-96.6049,TX,Jackson County,Dry Creek,8/29/2017 6:00:00 PM,16.64,0
29.48085,-96.97941,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,234.1,0
29.51894,-97.00062,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,256.4,5.9
29.53792,-97.03584,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,272.2,0
29.53866,-97.09209,TX,Lavaca County,Lavaca River,9/19/2017 5:00:00 PM,302.3,0
29.00114,-96.70797,TX,Jackson County,Lavaca River,8/29/2017 3:00:00 PM,52.96,9
29.46453,-96.94979,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,223.85,7.8
29.05946,-96.7355,TX,Jackson County,Lavaca River,8/29/2017 2:00:00 PM,69.68,13
29.42381,-96.94026,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,217.9,1.96
29.44723,-96.93239,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,231.9,6.34
29.42454,-96.94007,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,215.5,3.65
29.15013,-95.30852,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,8.4,3.43
29.0956,-95.2828,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,5.98,1.79
29.0636,-95.3213,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,7.15,1.42
29.30608,-96.88435,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,162.6,1.7
29.35063,-96.9166,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,180.8,6.8
29.0676,-95.3598,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,10.07,1.48
29.21893,-96.97,TX,Lavaca County,Lavaca River,9/2/2017 5:00:00 PM,148.7,2.34
29.24674,-96.84699,TX,Lavaca County,Guadalupe River,9/2/2017 5:00:00 PM,150.2,3.05
29.07241,-96.78111,TX,Jackson County,Lavaca River,8/29/2017 1:00:00 PM,75.6,4
28.67839,-96.80858,TX,Victoria County,Chocolate Bayou,9/2/2017 5:00:00 PM,49.2,0
29.11175,-95.37351,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,6.99,1.05
28.53183,-97.04334,TX,Victoria County,San Antonio River,9/2/2017 5:00:00 PM,31.7,1.14
29.1256,-95.45393,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,24.08,3.12
29.11085,-95.45239,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,22.33,2.08
29.0437,-95.4429,TX,Brazoria County,Gulf of Mexico,8/29/2017 5:00:00 PM,15.52,0.54
28.71239,-97.04232,TX,Victoria County,Coleto Creek,9/22/2017 5:00:00 PM,44.8,0
29.10019,-96.8086,TX,Jackson County,Lavaca River,8/29/2017 12:00:00 PM,91.71,8
28.75191,-97.00757,TX,Victoria County,Guadalupe River,9/2/2017 5:00:00 PM,48.3,0.54
29.3446,-96.1947,TX,Wharton County,Colorado River,8/29/2017 5:00:00 PM,100.03,0.28
29.3277,-96.1178,TX,Wharton County,Colorado River,8/29/2017 5:00:00 PM,105.76,2.98
29.30928,-96.10314,TX,Wharton County,Colorado River,8/29/2017 5:00:00 PM,102.71,1.78
29.30606,-96.1041,TX,Wharton County,Colorado River,8/29/2017 5:00:00 PM,102.12,0
29.29168,-96.06067,TX,Wharton County,Unknown,8/29/2017 5:00:00 PM,95.59,0
29.25333,-96.15856,TX,Wharton County,Colorado River,8/29/2017 5:00:00 PM,97.88,0
29.2498,-96.1058,TX,Wharton County,Colorado River,8/30/2017 5:00:00 PM,91.1,0
29.16217,-96.04357,TX,Wharton County,Colorado River,8/29/2017 5:00:00 PM,73.96,5.2
29.30599,-96.13424,TX,Wharton County,Colorado River,8/29/2017 5:00:00 PM,106.72,8.55
29.0193,-96.058,TX,Matagorda County,Colorado River,8/29/2017 5:00:00 PM,60.23,3.2
28.79352,-97.01255,TX,Victoria County,Guadalupe River,9/11/2017 5:00:00 PM,60.5,0
