lat,lon,elev_meters
29.88311,-95.19779,14.66
29.85325,-95.18693,13.78
29.88311,-95.19779,14.66
29.6165,-95.1918,10.66
29.6306,-95.1703,10.55
29.90672,-95.202279,15.24
29.88311,-95.19779,14.66
29.92455,-95.19978,15.77
29.93473,-95.22574,16.98
29.9375,-95.4599,30.44
29.9377,-95.4323,27.5
29.93473,-95.22574,16.98
29.93473,-95.24953,18.38
29.6264,-95.5177,15.54
29.6264,-95.5177,15.54
29.6264,-95.5177,15.54
29.6264,-95.5177,15.54
29.6264,-95.5177,15.54
29.6264,-95.5177,15.54
29.6443,-95.5389,20.93
29.6443,-95.5389,20.93
29.599,-95.3535,15.81
29.5974,-95.4264,16.78
29.60503,-95.47413,18.01
29.599,-95.3535,15.81
29.600240000000003,-95.26627,12.56
29.6007,-95.2475,13.82
29.6007,-95.2475,13.82
29.60651,-95.20528,10.01
29.60651,-95.20528,10.01
29.6004,-95.4647,18.82
29.5976,-95.3865,16.77
29.599,-95.3535,15.81
29.60651,-95.20528,10.01
29.5976,-95.3865,16.77
29.6009,-95.2287,10.98
29.60503,-95.47413,18.01
29.6007,-95.2475,13.82
29.7222,-95.5573,15.94
29.8127,-95.5636,28.48
29.7222,-95.5573,15.94
29.7844,-95.5629,20.3
29.7728,-95.5626,16.51
29.7047,-95.5571,21.63
